task;features;accuracy_mean;accuracy_std;precision;recall;f1;auc;confusion_matrix;confusion_matrix_norm;ova_class_0_mean;ova_class_1_mean;ova_class_0_std;ova_class_1_std;ova_class_2_mean;ova_class_2_std
Control_vs_PhLP;acoustic;0.8466043956043957;0.010007357515543623;0.8033716825596398;0.8106111111088592;0.806862875534337;0.9034318181818182;"[[29.182  6.818]
 [ 7.141 47.859]]";"[[0.81061111 0.18938889]
 [0.12983636 0.87016364]]";0.8466043956043935;0.8466043956043935;0.010007357515543675;0.010007357515543675;;
Control_vs_PhLP;spectral;0.8601428571428573;0.015835126705309805;0.8454778752994956;0.7917222222200228;0.8173238317497731;0.9233156565656566;"[[28.502  7.498]
 [ 5.229 49.771]]";"[[0.79172222 0.20827778]
 [0.09507273 0.90492727]]";0.8601428571428569;0.8601428571428569;0.01583512670530988;0.01583512670530988;;
Control_vs_PhLP;all;0.9302857142857145;0.012294262688790364;0.8980391065169966;0.9293333333307519;0.9132295688307948;0.9648853535353535;"[[33.456  2.544]
 [ 3.8   51.2  ]]";"[[0.92933333 0.07066667]
 [0.06909091 0.93090909]]";0.9302857142857168;0.9302857142857168;0.012294262688790348;0.012294262688790348;;
Control_vs_UVFP;acoustic;0.9024361702127658;0.007150321231074883;0.8219070618244599;0.9516111111084676;0.8819545470664377;0.9598591954022988;"[[34.258  1.742]
 [ 7.429 50.571]]";"[[0.95161111 0.04838889]
 [0.12808621 0.87191379]]";0.9024361702127486;0.9024361702127486;0.007150321231074923;0.007150321231074923;;
Control_vs_UVFP;spectral;0.8624893617021278;0.013238266412212905;0.7996467148661132;0.8556388888865122;0.8264593411180967;0.9447332375478927;"[[30.803  5.197]
 [ 7.729 50.271]]";"[[0.85563889 0.14436111]
 [0.13325862 0.86674138]]";0.8624893617021151;0.8624893617021151;0.013238266412212823;0.013238266412212823;;
Control_vs_UVFP;all;0.9273404255319149;0.01165901147887565;0.8517507813575171;0.9813611111083849;0.9118410319201717;0.9666886973180076;"[[35.329  0.671]
 [ 6.159 51.841]]";"[[0.98136111 0.01863889]
 [0.10618966 0.89381034]]";0.927340425531922;0.927340425531922;0.011659011478875655;0.011659011478875655;;
PhLP_vs_UVFP;acoustic;0.698212389380531;0.012998900536047542;0.666221754325497;0.7623272727258866;0.7109486889707411;0.7548228840125392;"[[41.928 13.072]
 [21.03  36.97 ]]";"[[0.76232727 0.23767273]
 [0.36258621 0.63741379]]";0.6982123893805376;0.6982123893805376;0.012998900536047527;0.012998900536047527;;
PhLP_vs_UVFP;spectral;0.6273716814159292;0.029939180524916904;0.602537252398331;0.688345454544203;0.6420784260449616;0.6779871473354233;"[[37.859 17.141]
 [24.966 33.034]]";"[[0.68834545 0.31165455]
 [0.43044828 0.56955172]]";0.6273716814159337;0.6273716814159337;0.02993918052491686;0.02993918052491686;;
PhLP_vs_UVFP;all;0.7428318584070798;0.019283914829028175;0.7276179409581305;0.7542909090895377;0.7405147494054974;0.7813799373040752;"[[41.486 13.514]
 [15.546 42.454]]";"[[0.75429091 0.24570909]
 [0.26803448 0.73196552]]";0.7428318584070801;0.7428318584070801;0.019283914829028165;0.019283914829028165;;
All_classes;acoustic;0.676530201342282;0.01105691407482935;0.8054503548043297;0.8132499999977408;0.8092340593678472;0.0;"[[29.277  6.723  0.   ]
 [ 7.069 35.076 12.855]
 [ 3.975 17.575 36.45 ]]";"[[0.81325    0.18675    0.        ]
 [0.12852727 0.63774545 0.23372727]
 [0.06853448 0.30301724 0.62844828]]";0.8807583892617342;0.7032080536912771;0.006197473298441647;0.01122374820459682;0.7690939597315445;0.009441345388641598
All_classes;spectral;0.6577919463087248;0.020481214772357065;0.8765365033042989;0.8535916477710516;0.864681935764373;0.0;"[[30.041  5.161  0.798]
 [ 4.24  38.058 12.702]
 [ 6.892 21.196 29.912]]";"[[0.83447222 0.14336111 0.02216667]
 [0.07709091 0.69196364 0.23094545]
 [0.11882759 0.36544828 0.51572414]]";0.8852953020134129;0.7094026845637605;0.01023290551599649;0.020488602871339856;0.7208859060402713;0.02098671346937972
All_classes;all;0.7614563758389262;0.01282941862490469;0.8907005967464602;0.9094746031720667;0.8999024059877003;0.0;"[[32.612  3.247  0.141]
 [ 4.    37.948 13.052]
 [ 4.831 10.272 42.897]]";"[[0.90588889 0.09019444 0.00391667]
 [0.07272727 0.68996364 0.23730909]
 [0.0832931  0.17710345 0.73960345]]";0.9179932885906161;0.7948255033557077;0.006613510814359786;0.01342442775591747;0.8100939597315382;0.01231389819044543
