task;features;true_index;pred_index;count;norm_value
Control_vs_PhLP;acoustic;0;0;29.182;0.8106111111111098
Control_vs_PhLP;acoustic;0;1;6.818;0.18938888888889058
Control_vs_PhLP;acoustic;1;0;7.141;0.12983636363636228
Control_vs_PhLP;acoustic;1;1;47.859;0.8701636363636396
Control_vs_PhLP;spectral;0;0;30.477;0.846583333333332
Control_vs_PhLP;spectral;0;1;5.523;0.15341666666666653
Control_vs_PhLP;spectral;1;0;5.902;0.10730909090909119
Control_vs_PhLP;spectral;1;1;49.098;0.8926909090909045
Control_vs_PhLP;all;0;0;34.738;0.964944444444437
Control_vs_PhLP;all;0;1;1.262;0.03505555555555599
Control_vs_PhLP;all;1;0;3.432;0.06239999999999973
Control_vs_PhLP;all;1;1;51.568;0.9376000000000035
Control_vs_UVFP;acoustic;0;0;34.253;0.9514722222222244
Control_vs_UVFP;acoustic;0;1;1.747;0.04852777777777869
Control_vs_UVFP;acoustic;1;0;7.432;0.1281379310344832
Control_vs_UVFP;acoustic;1;1;50.568;0.8718620689655033
Control_vs_UVFP;spectral;0;0;30.4;0.8444444444444439
Control_vs_UVFP;spectral;0;1;5.6;0.15555555555555553
Control_vs_UVFP;spectral;1;0;8.468;0.14600000000000166
Control_vs_UVFP;spectral;1;1;49.532;0.8539999999999901
Control_vs_UVFP;all;0;0;35.932;0.9981111111111097
Control_vs_UVFP;all;0;1;0.068;0.0018888888888888864
Control_vs_UVFP;all;1;0;6.163;0.10625862068965432
Control_vs_UVFP;all;1;1;51.837;0.8937413793103288
PhLP_vs_UVFP;acoustic;0;0;41.929;0.7623454545454487
PhLP_vs_UVFP;acoustic;0;1;13.071;0.2376545454545486
PhLP_vs_UVFP;acoustic;1;0;21.001;0.3620862068965523
PhLP_vs_UVFP;acoustic;1;1;36.999;0.6379137931034533
PhLP_vs_UVFP;spectral;0;0;38.052;0.6918545454545476
PhLP_vs_UVFP;spectral;0;1;16.948;0.3081454545454543
PhLP_vs_UVFP;spectral;1;0;21.358;0.36824137931034523
PhLP_vs_UVFP;spectral;1;1;36.642;0.6317586206896603
PhLP_vs_UVFP;all;0;0;42.498;0.7726909090909084
PhLP_vs_UVFP;all;0;1;12.502;0.22730909090909135
PhLP_vs_UVFP;all;1;0;17.387;0.2997758620689695
PhLP_vs_UVFP;all;1;1;40.613;0.7002241379310413
All_classes;acoustic;0;0;29.274;0.8131666666666664
All_classes;acoustic;0;1;6.726;0.18683333333333446
All_classes;acoustic;0;2;0.0;0.0
All_classes;acoustic;1;0;7.066;0.1284727272727259
All_classes;acoustic;1;1;35.076;0.6377454545454474
All_classes;acoustic;1;2;12.858;0.23378181818182106
All_classes;acoustic;2;0;3.974;0.06851724137931117
All_classes;acoustic;2;1;17.547;0.30253448275862493
All_classes;acoustic;2;2;36.479;0.6289482758620747
All_classes;spectral;0;0;29.816;0.828222222222221
All_classes;spectral;0;1;3.401;0.09447222222222272
All_classes;spectral;0;2;2.783;0.07730555555555604
All_classes;spectral;1;0;4.482;0.08149090909090968
All_classes;spectral;1;1;37.57;0.6830909090909105
All_classes;spectral;1;2;12.948;0.2354181818181822
All_classes;spectral;2;0;7.138;0.12306896551724167
All_classes;spectral;2;1;18.86;0.3251724137931058
All_classes;spectral;2;2;32.002;0.5517586206896615
All_classes;all;0;0;34.081;0.9466944444444416
All_classes;all;0;1;1.916;0.05322222222222303
All_classes;all;0;2;0.003;8.333333333333333e-05
All_classes;all;1;0;3.917;0.07121818181818151
All_classes;all;1;1;39.585;0.7197272727272774
All_classes;all;1;2;11.498;0.20905454545454571
All_classes;all;2;0;5.296;0.09131034482758615
All_classes;all;2;1;12.326;0.21251724137930794
All_classes;all;2;2;40.378;0.6961724137931098
