task;features;metric;value;std
Control_vs_PhLP;acoustic;accuracy;0.8466043956043957;0.010007357515543623
Control_vs_PhLP;acoustic;precision;0.8754849036790741;0.01305847543626237
Control_vs_PhLP;acoustic;recall;0.8701636363636365;0.006533296789688097
Control_vs_PhLP;acoustic;f1;0.8727620988265854;0.007679848992079984
Control_vs_PhLP;acoustic;auc;0.9034318181818182;0.004833968562797623
Control_vs_PhLP;acoustic;ova_class_0;0.8466043956043935;0.010007357515543675
Control_vs_PhLP;acoustic;ova_class_1;0.8466043956043935;0.010007357515543675
Control_vs_PhLP;spectral;accuracy;0.8744505494505496;0.018945689161001547
Control_vs_PhLP;spectral;precision;0.8993647703488705;0.021650563337469744
Control_vs_PhLP;spectral;recall;0.8926909090909089;0.020151459557909195
Control_vs_PhLP;spectral;f1;0.8957937948584259;0.015486738023945632
Control_vs_PhLP;spectral;auc;0.9466611111111112;0.008444947048379503
Control_vs_PhLP;spectral;ova_class_0;0.8744505494505529;0.018945689161001495
Control_vs_PhLP;spectral;ova_class_1;0.8744505494505529;0.018945689161001495
Control_vs_PhLP;all;accuracy;0.9484175824175824;0.010935937771192485
Control_vs_PhLP;all;precision;0.9763825336811918;0.016070897703816547
Control_vs_PhLP;all;recall;0.9376;0.009259812753582277
Control_vs_PhLP;all;f1;0.9565079436431957;0.009013677451767533
Control_vs_PhLP;all;auc;0.9678085858585859;0.00444389571337078
Control_vs_PhLP;all;ova_class_0;0.9484175824175828;0.010935937771192472
Control_vs_PhLP;all;ova_class_1;0.9484175824175828;0.010935937771192472
Control_vs_UVFP;acoustic;accuracy;0.902351063829787;0.007175600917605876
Control_vs_UVFP;acoustic;precision;0.9666727931295078;0.008109476096911707
Control_vs_UVFP;acoustic;recall;0.8718620689655172;0.009145670112538092
Control_vs_UVFP;acoustic;f1;0.9167819834847357;0.006246196297348224
Control_vs_UVFP;acoustic;auc;0.9598548850574712;0.0031625761579587414
Control_vs_UVFP;acoustic;ova_class_0;0.9023510638297698;0.007175600917605906
Control_vs_UVFP;acoustic;ova_class_1;0.9023510638297698;0.007175600917605906
Control_vs_UVFP;spectral;accuracy;0.8503404255319151;0.017138479468641825
Control_vs_UVFP;spectral;precision;0.8988451496496769;0.020055419607094678
Control_vs_UVFP;spectral;recall;0.854;0.01856133580005815
Control_vs_UVFP;spectral;f1;0.8756509318690366;0.014090167355220767
Control_vs_UVFP;spectral;auc;0.9379525862068965;0.010220927876758339
Control_vs_UVFP;spectral;ova_class_0;0.850340425531907;0.017138479468641825
Control_vs_UVFP;spectral;ova_class_1;0.850340425531907;0.017138479468641825
Control_vs_UVFP;all;accuracy;0.9337127659574469;0.0076687223741617756
Control_vs_UVFP;all;precision;0.9987187017877917;0.005157615257166366
Control_vs_UVFP;all;recall;0.8937413793103447;0.011622671988906545
Control_vs_UVFP;all;f1;0.9432715147111854;0.006844588535838699
Control_vs_UVFP;all;auc;0.9738060344827586;0.005159109801642712
Control_vs_UVFP;all;ova_class_0;0.93371276595746;0.00766872237416176
Control_vs_UVFP;all;ova_class_1;0.93371276595746;0.00766872237416176
PhLP_vs_UVFP;acoustic;accuracy;0.6984778761061946;0.012936152300356019
PhLP_vs_UVFP;acoustic;precision;0.7388825450154629;0.011639318815936264
PhLP_vs_UVFP;acoustic;recall;0.6379137931034484;0.02248661247909031
PhLP_vs_UVFP;acoustic;f1;0.6845555919772227;0.016449669584762197
PhLP_vs_UVFP;acoustic;auc;0.7547;0.00993392123724995
PhLP_vs_UVFP;acoustic;ova_class_0;0.6984778761062014;0.01293615230035604
PhLP_vs_UVFP;acoustic;ova_class_1;0.6984778761062014;0.01293615230035604
PhLP_vs_UVFP;spectral;accuracy;0.6610088495575221;0.027689873772955717
PhLP_vs_UVFP;spectral;precision;0.6843772885143449;0.03109102729836755
PhLP_vs_UVFP;spectral;recall;0.6317586206896552;0.03830472661247074
PhLP_vs_UVFP;spectral;f1;0.6564446294103002;0.029824093897994706
PhLP_vs_UVFP;spectral;auc;0.705258934169279;0.023841500713628436
PhLP_vs_UVFP;spectral;ova_class_0;0.6610088495575251;0.027689873772955672
PhLP_vs_UVFP;spectral;ova_class_1;0.6610088495575251;0.027689873772955672
PhLP_vs_UVFP;all;accuracy;0.735495575221239;0.021181114132554763
PhLP_vs_UVFP;all;precision;0.7650988108785344;0.02546384674485057
PhLP_vs_UVFP;all;recall;0.7002241379310346;0.02652725585526071
PhLP_vs_UVFP;all;f1;0.7309384765696241;0.021844068030319623
PhLP_vs_UVFP;all;auc;0.7673943573667713;0.013642580847677421
PhLP_vs_UVFP;all;ova_class_0;0.7354955752212438;0.02118111413255488
PhLP_vs_UVFP;all;ova_class_1;0.7354955752212438;0.02118111413255488
All_classes;acoustic;accuracy;0.6767046979865772;0.011064179243827084
All_classes;acoustic;precision;0.0;0.0
All_classes;acoustic;recall;0.0;0.0
All_classes;acoustic;f1;0.0;0.0
All_classes;acoustic;auc;0.0;0.0
All_classes;acoustic;ova_class_0;0.8807651006711302;0.006118965342171901
All_classes;acoustic;ova_class_1;0.7033758389261765;0.01123071895477174
All_classes;acoustic;ova_class_2;0.76926845637584;0.009461323554051045
All_classes;spectral;accuracy;0.66703355704698;0.02047305068237395
All_classes;spectral;precision;0.0;0.0
All_classes;spectral;recall;0.0;0.0
All_classes;spectral;f1;0.0;0.0
All_classes;spectral;auc;0.0;0.0
All_classes;spectral;ova_class_0;0.8805100671140856;0.012381748214321194
All_classes;spectral;ova_class_1;0.7336174496644291;0.020395970945935378
All_classes;spectral;ova_class_2;0.7199395973154372;0.02139619946323772
All_classes;all;accuracy;0.7653959731543624;0.016724832214765083
All_classes;all;precision;0.0;0.0
All_classes;all;recall;0.0;0.0
All_classes;all;f1;0.0;0.0
All_classes;all;auc;0.0;0.0
All_classes;all;ova_class_0;0.9252885906040358;0.007211489813762067
All_classes;all;ova_class_1;0.8009597315436229;0.01738676194735291
All_classes;all;ova_class_2;0.8045436241610717;0.015915907510627648
